Program,Organization,Category,Location/Format,Deadline,Verified,Materials Required,Affiliation Agreement?,Date Submitted,Status,Contact Email,Outcome,Next Action,Notes
BMS APPE Program,Bristol Myers Squibb,Industry,Virtual or hybrid,2026-09-19,YES (Jul 2026),CV + 1-page letter of intent + 1 letter of recommendation + online app,After acceptance,,Not started,student.rotations@bms.com,,SUBMIT THIS WEEK; secure rec letter,"Rec letter due Oct 3. Contract initiated only AFTER acceptance. Functions: Med Affairs, Clin Dev, HEOR, Field Medical, Marketing, Policy/Advocacy, PV/Epi, Reg Affairs"
St. Jude APPE,St. Jude Children's Research Hospital,Clinical/Research,Memphis TN,2026-10-23,YES (Jul 2026),Application; contact OEE before submitting,Required after selection,,Not started,timothy.jacobs@stjude.org,,Contact OEE then apply,Window Sep 1 - Oct 23 2026; decisions by Jan 15. NO Feb or Dec rotations. Unpaid.
PQA APPE,Pharmacy Quality Alliance,Quality/Policy,Remote or DC metro,2026-11-30,YES (Jul 2026),1-page cover letter + CV + unofficial transcript + 1 recommendation + school experiential approval letter,Ask OEE,,Not started,Academics@PQAalliance.org,,Request school approval letter now,"Opens Sep, due Nov, offers Dec. Confirm exact Nov date."
ACCP Professional Leadership APPE,ACCP,Association,National,2026-09-15,NO - verify,App + CV + 2 faculty LORs + OEE letter,Ask OEE,,Not started,,,Verify date; likely too late without letters,Reported window Aug 1 - Sep 15
USPHS JRCOSTEP,USPHS,Federal (paid),Various,2026-09-15,NO - verify,Federal application; US citizenship,N/A,,Not started,,,Confirm P2/P3 eligibility,Reported Jul 1 - Sep 15; 31-120 days paid
CDC pharmacy rotation,CDC,Federal,Atlanta GA,No fixed deadline,YES (Jul 2026),Email inquiry; involve OEE early,Ask OEE,,Not started,pharmacists@cdc.gov,,EMAIL CDC THIS WEEK,"PY4 only. 4-6 wks unpaid. Drug Services, Reg Affairs, HIV/AIDS, respiratory, emergency ops"
NIH Clinical Center Pharmacy,NIH,Federal,Bethesda MD,No public deadline,YES (Jul 2026),OEE-to-department inquiry,Must be established,,Not started,Phone 301-496-4363,,Ask OEE to call the department,CORRECTED: Oct 31 deadline NOT confirmed on official page. ~1000 clinical studies; investigational meds.
Cencora APPE,Cencora (formerly AmerisourceBergen),Industry,Conshohocken PA + varies,Varies by school,YES (Jul 2026),Via participating university nomination,MUST CHECK,,Not started,,,Ask OEE if school is a participating university,"Wholesale drug distribution + supply chain. Competitive, NOT informal outreach. No national form."
AACP Association Management APPE,AACP,Academia,Arlington VA,2026-11-01,NO - verify,Materials to APPE@aacp.org,Ask OEE,,Not started,APPE@aacp.org,,Draft academia-focused letter,Wants interest in association mgmt AND academia
NACDS Association Management APPE,NACDS,Association,Arlington VA (hybrid),2027-01-16,NO - verify,Application + CV,Ask OEE,,Not started,,,,Priority review by Jan 16; onsite Tu/W/Th
